category,category,airport,title_english,description_english,email,phone,website,last_updated
Special Assistance Services,विशेष सहायता सेवाएँ,Delhi,LUFTHANSA,Wheelchairs are provided by Lufthansa Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.,nan,9873635111,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Mumbai,CELEBI NAS WHEELCHAIR ON CALL,Providing wheelchair service to following airlines. 1. Etihad 2. Air France 3. Air Arabia 4. Thai Airways 5. Srilankan Airlines 6. Qatar Airways 7. Turkish Airlines 8. Bangkok Airways 9. Ethiopian 10 Gulf Air 11. Air Seychelles. 12. Iraqi 13. Saudi Arabian Airlines 14. Fly dubai 15. Air china 16. Air vistara 17. British Airways 18. Singapore Airlines 19. Cathay Pacific 20. Egypt Air,nan,66859396,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,AIR ASIA,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,LUFTHANSA,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,VISTARA,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,ATMs,Automatic Teller Machine (ATM) of various banks are conveniently located at vantage points in the airport to ensure that you have easy access to your money at all times.,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Duty Free,You can buy goods from duty free shop located both in the Arrival & Departure level of Terminal.,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Baggage Wrapping,"Secure Wrap offers passengers peace of mind while traveling with an environmental friendly plastic *Baggage wrapping service using state of the art technology. The service is available in the city side as well as the check in area of International Terminals Please Note: *Baggage wrapping charges are Rs.399/-(including GST) per bag. Cash, Paytm, Debit card & Credit card payment is accepted.",nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Apollo Pharmacy,Apollo pharmacy is available inside Domestic Departure Hall near airline check-in portal A.,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Medical Assistance,Kolkata Airport has 24x7 medical service within the Terminal. Medical assistance is available both at Departure and Arrival level. In case of an emergency contact the medical assistance number: o Departures Aedical Assistance: +91 251198017/+97 25691033 o Arrivals Medical Assistance: +91 25691128/ +97 9903388004,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Railway Reservation Facility,Railway reservation Facility is available in the arrival area of Kolkata Airport.,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,"ATM-SBI,Union Bank",1. State Bank of India: Landmark : City Side Area Terminal : INTEGRATED Area : Common Area 2. Union Bank of India Landmark : Inside Terminal Building Terminal : INTEGRATED Area : Departure Hall,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,SBI CARD,Type of facility: CREDIT CARD BOOKING Terminal : INTEGRATED Area : SHA SERVICES OFFERED :LEAD GENERATION FOR CREDIT CARD,nan,8218098615 / 9557478555,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,Lost &amp; Found baggage,"In case you happen to misplace your baggage or your belongings at D.A.B.H. Indore Airport, kindly contact Lost & Found enquiry, at: Airport Terminal Manager(ATM) OFFICE 0731-2626326 or +91-9425057716 (Time 24/7) E-mail: indoreatm@aai.aero As a policy and practise all agencies at the airport are expected to deposit any unclaimed goods under the Lost & found property to the Duty Terminal Manager. The Lost & Found items can be reclaimed by the passenger after completing the required formalities on all working days between 0930 – 1800hrs. NOTE: Baggage handling & delivery at the Airport is the responsibility of the concerned airline from the point of check-in to the point of collection. In case if anything is left behind on an aircraft, kindly contact the respective airlines.",indoreatm@aai.aero,0731-2626326 / +91-9425057716 (Time 24/7),nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,Wheel chair,"Passenger can place a request to concerned airline for a wheelchair while booking tickets or can also contact the airline ticketing counter after reaching the airport for the same. Type of Service : Free Landmark : DEP-NEAR ENTRY GATE ARR- NEAR APRON Airlines contact Air India :- 9826680080, Vistara:- 9229233255, Indigo:- 9993002705 Trujet:- 9949486294 AirAsia:- 9705576590 Star Air:- 7000870261 Go Air :- 7304995848 Fly Big :- 8225962437",nan,nan,nan,2024-10-14
Wifi,वाई - फाई,Indore,Wi-Fi(Vodafone),Free Wi-Fi facility is available upto 45 minutes (After the free time the same can be extended on payment basis).,indoreatm@aai.aero,9425057716,nan,2024-10-14
Dining,भोजन,Mumbai,TFS,Kamlesh Patil-Kailash Parbat-T1-Arrivals,kamlesh.patil@travelfoodservices.com,9930303098,nan,2024-10-14
Dining,भोजन,Mumbai,TATA STARBUCKS,CSMIA offers an extensive variety of sumptuous culinary experience,feedback.bom@adani.com,2266851010,https://csmia.adaniairports.com/shop-and-dine.aspx,2024-10-14
Dining,भोजन,Bengaluru,CAFE NOIR KERB,"A Persian bistro-inspired casual dining place serving some of the finest in French cuisine. There is always something here to satisfy your taste buds, from the flakiest of butter croissants to lip-smacking caramel tarts. (Location - opposite departure gate 1-4)",airport@cafenoir.co.in,8066784899,nan,2024-10-14
Dining,भोजन,Bengaluru,LA TAPENADE,"From a true Mediterranean culinary experience, a visit to La Tapenade is a must. From the soul comforting Moroccan lentil soup to the delicious grilled lemon-paprika tiger prawns to the palate-cleansing granitas, everything is an ode to the Mediterranean cost. (Location - near gate no 17)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Bengaluru,TASTE OF INDIA,"Taste of India represents the wonderful world of Indian cuisine, where one can enjoy a fast snack break or a more filling meal. At taste of India there is something for everyone and it is always freshly prepared. (Location - near boarding gate 9)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Bengaluru,TIFFIN EXPRESS,"Tiffin Express is an authentic south Indian grab & go concept, with a fresh and local touch. Come and enjoy a wide variety of delicacies of south India. (Location - near boarding gate no 2)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Bengaluru,NOODLE INTERNATIONAL,"Noodle serves delicious dishes from the various regions in Asia - from Singapore rice noodles to Thailands pad thai. Besides noodle dishes, vegetable and meat mains, it features a variety of Asian appetizers, dimsums, hot-pot soups, specialty noodles and rice bowls. (Location - near gate no 18)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Kolkata,Café Coffee Day,"Location – One outlet each in Domestic & International Departure level and one outside at the Domestic Arrival level Fully stacked CCD serves Sandwiches, Desserts, Cold Coffees, and more while you grab a hot coffee.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,The Coffee Bean and Tea Leaf,"Location – One outlet at Domestic Departure level With a spread of over 20 varieties of coffee and tea from around the world, ‘Coffee Bean and Tea Leaf’ offers personalized service with the highest quality of coffee and tea.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,CookieMan,"Location – One outlet in Domestic Departure level Cookie Man offers a spread of fresh baked cookies. The most popular being Choc Chip, Coffee Walnut, Brandy Snap, Honey and Oats, Coconut Macaroon and the famous Australian “Anzac” flavor.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,Airport Baking Company,"Location – One outlet in Domestic Departure level Cozy little cafeteria decorated with bright colors and serving a range of bakery items, sandwiches, and coffee.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,Copper Chimney,Location – One outlet in Domestic Departures level Get the gastronomic delights of the North West Frontier province and Northern India at Copper Chimney located at the Departures of Domestic Terminal.,nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,Curry Kitchen,"Location – One outlet the Domestic Departure level. Give your taste buds a treat of wide varieties of curries from Curry Kitchen. You can also try the Biriyanis, Rolls, and Chaaps.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,The Irish House,"Location – One outlet in Domestic Departure A lively pub for beer lovers, sports fanatics and gourmands of the city - The Irish House is your perfect airport hangout. The ambiance captures the spirit of traditional pubs back in grand old Ireland and emulates that same welcoming feel. The well-stocked bar and kitchen bring the right balance of classic and contemporary pub grub with signature dishes.",nan,nan,nan,2024-10-14
Shopping,खरीदारी,Kolkata,ESKE PARIS,"Eske is a French designer premium and exclusive brand launched in Paris. The products include Ladies Handbag, Laptop Bag, Sling Bag, Travel Bag and other accessories such as Belts, Men, and Women Wallet etc.",nan,nan,nan,2024-10-14
Shopping,खरीदारी,Kolkata,KATHA,"A fashion-conscious label inspired by India's colors, fabric, and prints. They cater to the ever-evolving woman. Kurtas, Kurtis, Anarkali, palazzos, skirts, and fusion dresses... You name it and they have it. Standing in support of the ancient Indian craft of dyeing weaving and printing true to the soil this is label KATHA to you... A never-ending story of fashion.",nan,nan,nan,2024-10-14
Shopping,खरीदारी,Kolkata,TANISHQ,"Tanishq is a jewelry brand of India. It is a division of Titan Company, a company promoted by the Tata Group. A known brand, Tanishq, takes great pride in offering an unparalleled retail experience that takes into consideration your unique needs and preferences.",nan,nan,nan,2024-10-14
Shopping,खरीदारी,Kolkata,WH smith,"WHSmith News, books and convenience (NBC) stores focus on true convenience and providing something for every customer. Stores are designed to accommodate a range of shopping patterns & behaviors from someone who wants to get in and out as quickly as possible to someone who wants to take the time to browse our extensive range of products like Books, Confectionery, Souvenirs, Toys, Personal care, Fragrance etc. At NSCBI airport WH Smith have four stores at various locations.",nan,nan,nan,2024-10-14
Shopping,खरीदारी,Kolkata,GUTE REISE,"A unique travel store for every business and adventure traveller. ‘GUTE REISE’ which translates to ‘happy and safe journey’ in German language, has different gears for all your journeys. Di visit the store when in Kolkata Airport and ‘be equipped’ for every journey of yours!",nan,nan,nan,2024-10-14
Shopping,खरीदारी,Kolkata,Biswa Bangla,"When you shop at Biswa Bangla showroom at NSCBI Airport you do not only hold a piece of Bengal in your hands, but reach out to make the lives of thousands of Bengal’s weavers and craftspersons a little better. Biswa Bangla reaches out to thousands of craftspersons and weavers in the state to develop handicraft and handloom products that stand out in terms of quality and uniqueness.",nan,nan,nan,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Kolkata,Parking Facility,"Car parking facility is available at both domestic as well as international levels. Car parking areas are designated and operational throughout the day. Specific pick up and drop off points are assigned across terminals. Two wheeler parking is also available at the terminals. Following are the charges: 1.Coach/Bus/Trucks-Rs.110 2.Tempo/SUV/Mini Bus-Rs. 110 3.Car-Rs. 100 4.Two Wheeler-Rs. 25 NOTE: The rates given above will be applicable for 2 hours. After two hours, rate will increase by Rs. 20/- per hour. For two-wheeler, the charges after two hours will be Rs. 10/- per hour. The parking rate beyond 7 hours up to 24 hours will be 300% of the first two-hour rate and every 24 hours or part thereof.",nan,nan,nan,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Bathinda,Transportation,"A city bus is operating from Bathinda bus stand to Bathinda Airport at nominal charges of Rs. 30/- only, by Pepsu Road Transport Corporation (PRTC). Timings are given below. Bathinda Bus stand to Airport 07:35 AM Airport to Bathinda Bus stand 08:40 AM Bathinda Bus stand to Airport 09:35 AM Airport to Bathinda Bus stand 11:30 AM",tmgr_bathinda@aai.aero,9988003447,nan,2024-10-14
Rest and Relax,आराम या प्रतीक्षा करना,Kolkata,Airline Lounges,Lounge facility is available in Domestic and International Terminals. The lounges are located in the Security Hold Area and passengers can spend their free time leisurely before boarding aircraft. There are two Lounges in the Security Hold Area of Domestic Terminal & one lounge in the Security Hold Area of International Terminal (Travel Club Lounge) which is managed by M/s. Travel Food Services,nan,nan,nan,2024-10-14
Rest and Relax,आराम या प्रतीक्षा करना,Kolkata,Retiring rooms,"Passengers can arrive at any time and can avail the facility of Retiring Rooms & Dormitories at Kolkata Airport. Rooms & Dormitories are allotted to Air Transit Passengers, with a transit period of maximum 24hrs., on ‘first come first serve basis’ and the same cannot be booked in advance. You can sleep for few hours, rejuvenate, shower before your next departure with comfort and stress free. Tariff: 1. Double Bedded Room (Husband, Wife & Children below 12yrs) : Rs. 1500/+ GST 2. Single Bed (on sharing basis) : Rs. 1000/+ GST 3. Dormitory (Ladies & Gents): Rs. 700/+ GST",nan,nan,nan,2024-10-14
Rest and Relax,आराम या प्रतीक्षा करना,Kolkata,Golf Carts,"Six numbers of battery operated golf carts are available in the Terminal at check in, arrival & aerobridge corridor for use by senior citizens, person with special needs, etc.",nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Delhi,EMIRATES,Wheelchairs are provided by Emirates Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.,nan,9810081727,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Delhi,JET AIRWAYS,Wheelchairs are provided by Jet Airways Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.,nan,8800770057,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Delhi,SPICE JET,Wheelchairs are provided by Indigo Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.,nan,9582227065,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Delhi,AIR ASIA,Wheelchairs are provided by AIR ASIA Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.,nan,9212100525,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,BUGGY SERVICE,"Special assistance is provided through out our terminal for people with reduced mobility. There is free buggy at your service, currently stationed at the outer Kerb on the departure side. A second buggy has been stationed at International Security hold area after security check.",feedback@bialairport.com,8066782951,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,AIR FRANCE,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,TRUJET,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,SILK AIR,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,MALAYSIAN AIRLINES,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,SAUDI ARABIAN AIRLINES,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Bengaluru,AIR ASIA BERHAD,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",feedback@bialairport.com,8066787656,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Check in counter,128 Check in counters are operational in Domestic & International Departure Levels. The check-in counters are divided in to eight portals having 16 counters each.,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Lost &amp; Found,"In case you happen to misplace your baggage or your belongings at Netaji Subhas Chandra Bose International Airport, please do not worry. All the agencies at the airport are expected to deposit any unclaimed goods under the Lost & found property through the AAI, Duty Terminal Manager both at Domestic & International levels. The Goods are deposited after duly recording the contents, description, date & time of deposition and the depositors signature. The unclaimed items shall be transferred to warehouse after 24hrs or at 0930hrs next day whichever is earlier and can be reclaimed back by the passenger or by someone who is authorized by passenger in between 0930 – 1800hrs (Except on Saturday, Sunday & Public holidays). Baggage handling & delivery at Kolkata Airport is the responsibility of the concerned airline from the point of check-in to the point of collection. If anything is left on an aircraft, respective airlines should be contacted immediately. For Lost & Found enquiry, please contact:",nan,033 25691002/9674721815 (round the clock),nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Kolkata,Postal services,Passengers & Visitors can avail the facility of postal service at Kolkata Airport. You can visit the postal service counter located at arrival level near gate 3C for sending out important last minutes documents or letters.,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,MEDICAL EMERGENCY SERVICES BY SHALBY HOSPITAL,Type of facility:MEDICAL EMERGENCY SERVICES Terminal : INTEGRATED Area : DEPARTURE HALL SERVICES OFFERED :MEDICAL AID FOR PASSENGERS AND STAFF,nan,9425969853,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,Airlines Ticket Counters,Ticketing counters of various airlines are available at Outside Terminal near Departure. All these counters can be accessed through city side. Contact Details of Airlines are as: Sl.No Airline Name Airline Contact Information 1 Air India 0731-2620491 2 Vistara 9229233255 3 IndiGo Airlines 0731-2620695 4 Air Asia 0731-2623644 5 Go Air 7304995848 6 Truejet 0731-2623130/9676999951 7 Star Air 7000870261 8 Fly Big 8225962437,nan,nan,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,Business &amp; VIP facilities,Business & VIP facilities are available in both Arrival and Departure. Type of Service: Free,indoreatm@aai.aero,9425057716,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,Self Check-In Kiosk,Self-check-in facility available in the Departure hall (5nos.). You can select seats and print your boarding pass using this facility.,indoreatm@aai.aero,9425057716,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,Shoe Polish Machine,Shoe Polish Machines are available as added facility for the passengers outside Male Washrooms. Type of Service: Free,indoreatm@aai.aero,9425057716,nan,2024-10-14
Special Assistance Services,विशेष सहायता सेवाएँ,Indore,PLASTIC CRUSHER MACHINE BY AAI,"Type of facility: PLASTIC CRUSHER MACHINE Terminal : INTEGRATED Area : SHA SERVICES OFFERED :FOR SAFE & ECO-FRIENDLY DISPOSAL OF PLASTIC BOTTLES,ETC",nan,9425057716,nan,2024-10-14
Wifi,वाई - फाई,Visakhapatnam,WiFi Services,COMPLIMENTARY FREE WI-FI,Unavailable,Unavailable,Unavailable,2024-10-14
Wifi,वाई - फाई,Delhi,TATA DOCOMO WI-FI,"Wherever you are in Indira Gandhi International Airport, there is a free wireless internet (WiFi) connection available.",vaibhav.sharma8@tatatel.co.in,9212100525,www.newdelhiairport.in/wi-fi-at-t3.aspx,2024-10-14
Wifi,वाई - फाई,Mumbai,WiFi Services,Enjoy complimentary Wi-Fi service at CSMIA,feedback.bom@adani.com,2266851010,https://csmia.adaniairports.com/wi-fi-facility.aspx,2024-10-14
Wifi,वाई - फाई,Bengaluru,TATA DOCOMO WI-FI,"Wherever you are in Bangalore International Airport, there is a free wireless internet (Wi-Fi) connection available.",tatabial13@gmail.com,8066782877,http://www.bengaluruairport.com,2024-10-14
Dining,भोजन,Mumbai,TFS,Kamlesh Patil-Idli.com-T1-Arrivals,kamlesh.patil@travelfoodservices.com,9930303098,nan,2024-10-14
Dining,भोजन,Mumbai,TFS,Kamlesh Patil-Coffee & More T1-Arrivals,kamlesh.patil@travelfoodservices.com,9930303098,nan,2024-10-14
Dining,भोजन,Mumbai,TFS,Kamlesh Patil-MUMBAI SE 1 B-T1-Arrivals,kamlesh.patil@travelfoodservices.com,9930303098,nan,2024-10-14
Dining,भोजन,Mumbai,TFS,Kamlesh Patil-Wow Momos-T1-Arrivals,kamlesh.patil@travelfoodservices.com,9930303098,nan,2024-10-14
Dining,भोजन,Bengaluru,LA ALTA VITA,"La Alta Vita is the food destination to experience high life, the Italian way. All the quintessential Italian delicacies like focaccia caprese, Calamari Frito misto and ubiquitous thin crust pizzas are prepared with the best of ingredients and with utmost care buon appetito (Location - near gate no 7)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Bengaluru,FRESH AND HEALTHY,"Fresh & Healthy offers you quick healthy food and beverages such as made-to-order sandwiches, and soups, freshly extracted fruit & vegetable juice and smoothies on the go. (Location - near boarding gate no 2)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Bengaluru,URBAN FOOD MARKET,"They go to the place for grabbing a quick bite before boarding the plane. From healthy fruit bowls to delicious chocolate muffin, you will find everything to satiate your hunger. (Location - near boarding gate no 6, 11, 24)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Bengaluru,MAIYAS,Enjoy authentic south Indian delicacies served with a whole lotta love at maiyas. Try the rava idli along with a freshly brewed cup of filter coffee and Savour the true flavours of the south. (Location - near departure gate 5 - 7),pushparaj.k@maiyas.in,7259227662,nan,2024-10-14
Dining,भोजन,Bengaluru,CAFE COFFEE DAY,"Experience coffee the way it should be at the India most popular coffee chain, Cafe Coffee day. Drop in to unwind amidst the aroma of a freshly brewed coffee. (Location - Arrival hall, Departure hall and opposite BMTC bus stop)",naveen.ca@cafecoffeeday.com,9071380589,nan,2024-10-14
Dining,भोजन,Bengaluru,NOODLE - DOMESTIC,"Noodle serves delicious dishes from the various regions in Asia - from Singapore rice noodles to Thailands pad thai. Besides noodle dishes, vegetable and meat mains, it features a variety of Asian appetizers, dimsums, hot-pot soups, specialty noodles and rice bowls. (Location - near gate no 9)",kathhiravan.radhakrishnan@hmshost.net,8884450003,nan,2024-10-14
Dining,भोजन,Kolkata,KFC,"Location – One outlet in Domestic Departure level The fried chicken joint is here to offer you a line of chicken products, side dishes, and desserts. You can also choose from wraps, salads, shakes, and sandwiches.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,Pizza Hut,"Location – One outlet in Domestic Departure level Pizza Hut offers a range of pizzas along with side dishes including pasta, breadsticks, and garlic bread.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,Flying Bytes,Location – One outlet each in Domestic & International Departure levels ‘Flying Bites’ is aptly designed to cater to passengers without wasting their time by sitting at a lounge or an eatery and still are able to get freshly prepared ready-to-eat hot food.,nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,Wow Momo,"Location- Two outlets in Domestic Departure level, one at International Departure level and one at Domestic Arrivals. A quick service food chain serving large variants of innovative momos and Tibetan cuisine in a dine-in, delivery and take away format. Don’t forget to try their Chocolate Momos before leaving.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,Haldiram’s,"Location - One outlet each in Domestic & International Departure level and one at the Domestic Arrival level Haldiram’s – a major sweets and snacks manufacturer knew for its savory ‘bhujiya’. The traditional sweets & namkeens, leave a mark on every occasion and get close to the heart of the common man.",nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,Ultra Bar,Location – One outlet in Domestic Departure Drop in to grab a drink with lip-smacking starters on your next departure from Kolkata Airport.,nan,nan,nan,2024-10-14
Dining,भोजन,Kolkata,ABC Bar,Location – One outlet in International Departure Bar cum lounge offers a variety of cocktails and tastefully curated food spread along with a choicest of hot & cold beverages.,nan,nan,nan,2024-10-14
Dining,भोजन,Indore,Baker Street,"Type of facility: Food and beverage Terminal : INTEGRATED Area : DEPARTURE,SHA (INTERNATIONAL) SERVICES OFFERED :Food and beverage",khaogali.indore@lbf.co.in,8860317663/9990474536,nan,2024-10-14
Dining,भोजन,Indore,NAASHTO,"Type of facility: Food and beverage Terminal : INTEGRATED Area 1 : DEPARTURE CHECKIN ,SHA (FIRST FLOOR) Area 2 : Arrival ,CITY SIDE GROUND FLOOR SERVICES OFFERED :Food and beverage",bakers.indore@lbf.co.in,9098772936/9516881633,nan,2024-10-14
Shopping,खरीदारी,Kolkata,SUNGLASS HUT,"Sunglass Hut is the Luxury destination for fashionable, stylish and Premium sunglasses & it is one of the world largest eyewear company. The brand Portfolio boasts of the most significant brands of the world, namely Ray-ban, Oakley, Prada, Persol, Maui Jim, Channel, Burberry, Versace, Coach, Michel Kors, Armani Exchange, Vogue, Ralph and many more. There are 3000 + store Across the world.",nan,nan,nan,2024-10-14
Shopping,खरीदारी,Kolkata,SHAZE,"Shazé is a premium brand for destination jewelry and luxury products; offering contemporary lifestyle choices for unorthodox and urbane living. They produce bold and unique designs by collaborating with talents from all over the globe, creating timeless pieces.",nan,nan,nan,2024-10-14
Shopping,खरीदारी,Indore,Ceriz,Ceriz Footwear and Handbags,dm-indore-airport@futurelifestyle.in,8962863292,https://ceriz.com/,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Delhi,DELHI AIRPORT PARKING SERVICES,"For the convenience of our passengers, there is a six storied multi level car parking facility available across Terminal 3 which can accommodate up to 4300 cars at any given point. The parking can be accessed via an elevated footbridge that attaches the terminal to the garage or by crossing the road to the entrance of the terminal. Customer Care Number - Terminal - 1; 8800493897 / Terminal -3; 8800493889",feedback.igiairport@gmrgroup.in,8800493889,www.newdelhiairport.in/delhi-airport-parking-services.aspx,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Mumbai,MERU CABS SERVICES,MERU CAB Service,nan,9892008022,nan,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Mumbai,AKBAR TRAVEL CAR RENTAL SERVICES,Car Rental Services,nan,9833550445,nan,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Mumbai,Transportation,"As you arrive at Mumbai, you can choose car rental or taxi services to commute within the city.",feedback.bom@adani.com,2266851010,https://csmia.adaniairports.com/transport.aspx,2024-10-14
Parking and Transportation,पार्किंग और परिवहन,Bengaluru,AKBAR TRAVELS - CAR RENTAL,"If you like the idea of driving yourself around, our fleet of rental cars which will simplify travel for you. From high -end luxury cars to the latest hatchbacks, we have a full range of well-maintained 4-wheelers for you to choose from when you arrive at the airport.",bangalore@akbarcarrental.in,8066783810,https://www.akbartravels.com/,2024-10-14
